year,season,noc,team,sport,event,medal
2012,Summer,CAN,Canada,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",Bronze
2012,Summer,GBR,Great Britain,Gymnastics,Gymnastics Men's Team All-Around,Bronze
1908,Summer,GBR,Great Britain,Boxing,Boxing Men's Heavyweight,Gold
1964,Summer,POL,Poland,Boxing,Boxing Men's Flyweight,Silver
1968,Summer,POL,Poland,Boxing,Boxing Men's Flyweight,Silver
1988,Summer,POL,Poland,Fencing,"Fencing Men's Sabre, Individual",Silver
2016,Summer,CAN,Canada,Swimming,Swimming Women's 100 metres Freestyle,Gold
2016,Summer,CAN,Canada,Swimming,Swimming Women's 100 metres Butterfly,Silver
1968,Summer,URS,Soviet Union,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",Silver
1984,Summer,ROU,Romania,Rowing,Rowing Women's Double Sculls,Gold
1992,Summer,ROU,Romania,Rowing,Rowing Women's Single Sculls,Gold
2000,Summer,BLR,Belarus,Weightlifting,Weightlifting Men's Featherweight,Bronze
1924,Summer,ITA,Italy,Rowing,Rowing Men's Coxed Pairs,Silver
1912,Summer,FIN,Finland,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Silver
1980,Summer,ITA,Italy,Boxing,Boxing Men's Light-Welterweight,Gold
2008,Summer,BRA,Brazil,Sailing,Sailing Women's Two Person Dinghy,Bronze
2008,Summer,USA,United States,Athletics,Athletics Men's 110 metres Hurdles,Bronze
1908,Summer,FRA,France,Fencing,"Fencing Men's epee, Individual",Bronze
2016,Summer,FRA,France,Swimming,Swimming Men's 10 kilometres Open Water,Bronze
1996,Summer,UKR,Ukraine,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",Gold
1980,Summer,URS,Soviet Union,Athletics,Athletics Women's 800 metres,Gold
1980,Summer,URS,Soviet Union,Athletics,"Athletics Women's 1,500 metres",Bronze
1924,Summer,BEL,Belgium,Wrestling,"Wrestling Men's Middleweight, Freestyle",Silver
1920,Summer,SWE,Sweden,Diving,Diving Women's Plain High,Bronze
1932,Summer,ITA,Italy,Cycling,"Cycling Men's Road Race, Team",Gold
2006,Winter,SWE,Sweden,Biathlon,Biathlon Women's 7.5 kilometres Sprint,Silver
2006,Winter,SWE,Sweden,Biathlon,Biathlon Women's 12.5 kilometres Mass Start,Gold
1972,Summer,FRA,France,Canoeing,"Canoeing Men's Canadian Doubles, Slalom",Bronze
2004,Summer,DEN,Denmark,Athletics,Athletics Men's Shot Put,Silver
1924,Winter,NOR,Norway,Speed Skating,Speed Skating Men's 500 metres,Silver
1920,Summer,NOR,Norway,Shooting,"Shooting Men's Military Rifle, Prone, 300 metres",Gold
1920,Summer,NOR,Norway,Shooting,"Shooting Men's Running Target, Single Shot",Gold
1924,Summer,NOR,Norway,Shooting,"Shooting Men's Running Target, Single Shot",Bronze
1932,Summer,DEN,Denmark,Weightlifting,Weightlifting Men's Light-Heavyweight,Silver
1948,Summer,USA,United States,Diving,Diving Women's Springboard,Silver
1952,Summer,USA,United States,Diving,Diving Women's Springboard,Bronze
1928,Summer,SWE,Sweden,Equestrianism,"Equestrianism Men's Dressage, Individual",Bronze
2004,Summer,SWE,Sweden,Athletics,Athletics Men's Triple Jump,Gold
1992,Summer,SWE,Sweden,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",Silver
2010,Winter,SWE,Sweden,Cross Country Skiing,Cross Country Skiing Men's 50 kilometres,Bronze
2010,Winter,SWE,Sweden,Cross Country Skiing,Cross Country Skiing Men's 30 km Skiathlon,Bronze
2014,Winter,SWE,Sweden,Cross Country Skiing,Cross Country Skiing Men's 15 kilometres,Silver
1948,Summer,SWE,Sweden,Art Competitions,"Art Competitions Mixed Architecture, Architectural Designs",Bronze
2014,Winter,RUS,Russia,Snowboarding,Snowboarding Men's Boardercross,Silver
1972,Winter,URS,Soviet Union,Cross Country Skiing,Cross Country Skiing Women's 10 kilometres,Silver
2012,Summer,PRK,North Korea,Weightlifting,Weightlifting Men's Bantamweight,Gold
2016,Summer,PRK,North Korea,Weightlifting,Weightlifting Men's Bantamweight,Silver
1992,Summer,FRA,France,Fencing,"Fencing Men's Foil, Individual",Gold
1992,Summer,AUS,Australia,Swimming,Swimming Women's 200 metres Butterfly,Bronze
1996,Summer,AUS,Australia,Swimming,Swimming Women's 200 metres Butterfly,Gold
2000,Summer,AUS,Australia,Swimming,Swimming Women's 200 metres Freestyle,Gold
2000,Summer,AUS,Australia,Swimming,Swimming Women's 200 metres Butterfly,Silver
1972,Summer,URS,Soviet Union,Judo,Judo Men's Heavyweight,Bronze
1984,Summer,BRA,Brazil,Judo,Judo Men's Lightweight,Bronze
2016,Summer,JPN,Japan,Judo,Judo Men's Lightweight,Gold
1952,Summer,JPN,Japan,Gymnastics,Gymnastics Men's Horse Vault,Bronze
1956,Summer,JPN,Japan,Gymnastics,Gymnastics Men's Individual All-Around,Silver
1956,Summer,JPN,Japan,Gymnastics,Gymnastics Men's Parallel Bars,Bronze
1956,Summer,JPN,Japan,Gymnastics,Gymnastics Men's Horizontal Bar,Gold
1956,Summer,JPN,Japan,Gymnastics,Gymnastics Men's Pommelled Horse,Silver
1960,Summer,JPN,Japan,Gymnastics,Gymnastics Men's Individual All-Around,Silver
1960,Summer,JPN,Japan,Gymnastics,Gymnastics Men's Horse Vault,Gold
1960,Summer,JPN,Japan,Gymnastics,Gymnastics Men's Parallel Bars,Bronze
1960,Summer,JPN,Japan,Gymnastics,Gymnastics Men's Horizontal Bar,Gold
1960,Summer,JPN,Japan,Gymnastics,Gymnastics Men's Rings,Bronze
1992,Summer,HUN,Hungary,Gymnastics,Gymnastics Women's Floor Exercise,Silver
1992,Summer,HUN,Hungary,Gymnastics,Gymnastics Women's Horse Vault,Gold
2014,Winter,JPN,Japan,Freestyle Skiing,Freestyle Skiing Women's Halfpipe,Bronze
1996,Summer,NGR,Nigeria,Athletics,Athletics Women's 200 metres,Bronze
1996,Summer,KEN,Kenya,Athletics,Athletics Men's 800 metres,Bronze
1972,Summer,URS,Soviet Union,Modern Pentathlon,Modern Pentathlon Men's Individual,Silver
2000,Summer,RUS,Russia,Canoeing,"Canoeing Men's Canadian Singles, 500 metres",Silver
2004,Summer,RUS,Russia,Canoeing,"Canoeing Men's Canadian Singles, 500 metres",Bronze
2008,Summer,RUS,Russia,Canoeing,"Canoeing Men's Canadian Singles, 500 metres",Gold
1988,Winter,USA,United States-1,Figure Skating,Figure Skating Mixed Pairs,Bronze
2004,Summer,GER,Germany,Rowing,Rowing Women's Double Sculls,Silver
1956,Winter,AUT,Austria-1,Figure Skating,Figure Skating Mixed Pairs,Gold
2004,Summer,ROU,Romania,Athletics,Athletics Men's Triple Jump,Silver
2012,Summer,COL,Colombia,Cycling,Cycling Men's BMX,Bronze
1948,Summer,EGY,Egypt,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",Bronze
1972,Summer,HUN,Hungary,Boxing,Boxing Men's Lightweight,Silver
1906,Summer,BEL,Royal Club Nautique de Gand,Rowing,Rowing Men's Coxed Pairs (1 mile),Silver
1956,Summer,ROU,Romania,Fencing,"Fencing Women's Foil, Individual",Silver
1948,Winter,FRA,France,Alpine Skiing,Alpine Skiing Men's Downhill,Gold
1948,Winter,FRA,France,Alpine Skiing,Alpine Skiing Men's Slalom,Bronze
1948,Winter,FRA,France,Alpine Skiing,Alpine Skiing Men's Combined,Gold
1896,Summer,GRE,Greece,Shooting,"Shooting Men's Muzzle-Loading Pistol, 25 metres",Silver
1896,Summer,GRE,Greece,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres",Gold
1906,Summer,GRE,Greece,Shooting,"Shooting Men's Free Pistol, 50 metres",Gold
1928,Summer,ITA,Italy,Boxing,Boxing Men's Lightweight,Gold
1908,Summer,RUS,Russia,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",Silver
1984,Winter,CAN,Canada,Figure Skating,Figure Skating Men's Singles,Silver
1988,Winter,CAN,Canada,Figure Skating,Figure Skating Men's Singles,Silver
2016,Summer,ESP,Spain,Athletics,Athletics Men's 110 metres Hurdles,Silver
1936,Summer,MEX,Mexico,Boxing,Boxing Men's Bantamweight,Bronze
2008,Summer,CUB,Cuba,Judo,Judo Women's Heavyweight,Bronze
2012,Summer,CUB,Cuba,Judo,Judo Women's Heavyweight,Gold
2016,Summer,CUB,Cuba,Judo,Judo Women's Heavyweight,Silver
1984,Summer,PUR,Puerto Rico,Boxing,Boxing Men's Lightweight,Silver
1992,Winter,AUT,Austria,Alpine Skiing,Alpine Skiing Men's Downhill,Gold
1900,Summer,CAN,Canada,Athletics,Athletics Men's 400 metres Hurdles,Bronze
1900,Summer,CAN,Canada,Athletics,"Athletics Men's 2,500 metres Steeplechase",Gold
2016,Summer,AZE,Azerbaijan,Judo,Judo Men's Lightweight,Silver
1992,Summer,EUN,Unified Team,Wrestling,"Wrestling Men's Light-Flyweight, Freestyle",Bronze
1980,Summer,DEN,Denmark,Cycling,"Cycling Men's Individual Pursuit, 4,000 metres",Bronze
1968,Summer,USA,United States,Diving,Diving Women's Springboard,Bronze
1984,Summer,CAN,Canada,Boxing,Boxing Men's Light-Middleweight,Silver
2000,Summer,IRL,Ireland,Athletics,"Athletics Women's 5,000 metres",Silver
1960,Summer,JPN,Japan,Swimming,Swimming Men's 200 metres Breaststroke,Silver
1988,Summer,JPN,Japan,Judo,Judo Men's Middleweight,Bronze
1924,Summer,USA,United States,Athletics,Athletics Men's High Jump,Gold
1924,Summer,USA,United States,Athletics,Athletics Men's Decathlon,Gold
1976,Summer,GBR,Great Britain,Sailing,Sailing Mixed Multihull,Gold
1912,Summer,USA,United States,Shooting,"Shooting Men's Military Rifle, Three Positions, 300 metres",Silver
1912,Summer,USA,United States,Shooting,"Shooting Men's Military Rifle, Any Position, 600 metres",Silver
1920,Summer,USA,United States,Shooting,"Shooting Men's Military Rifle, Standing, 300 metres",Gold
1924,Summer,USA,United States,Shooting,"Shooting Men's Free Rifle, Prone, 600 metres",Silver
1932,Summer,USA,United States,Athletics,Athletics Women's Discus Throw,Silver
1936,Summer,NED,Netherlands,Athletics,Athletics Men's 100 metres,Bronze
1936,Summer,NED,Netherlands,Athletics,Athletics Men's 200 metres,Bronze
1932,Summer,JPN,Japan,Athletics,Athletics Men's Triple Jump,Bronze
1924,Summer,DEN,Denmark,Fencing,"Fencing Women's Foil, Individual",Gold
1912,Summer,DEN,Denmark,Fencing,"Fencing Men's epee, Individual",Silver
1928,Summer,USA,United States,Swimming,Swimming Women's 100 metres Freestyle,Gold
1980,Summer,URS,Soviet Union,Weightlifting,Weightlifting Men's Flyweight,Gold
1976,Summer,URS,Soviet Union,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Silver
1920,Summer,BEL,Belgium,Art Competitions,Art Competitions Mixed Painting,Bronze
2008,Summer,BLR,Belarus,Athletics,Athletics Women's Shot Put,Bronze
1948,Winter,SWE,Sweden,Cross Country Skiing,Cross Country Skiing Men's 18 kilometres,Silver
1948,Summer,FRA,France,Athletics,Athletics Women's High Jump,Bronze
1948,Summer,FRA,France,Athletics,Athletics Women's Shot Put,Gold
1948,Summer,FRA,France,Athletics,Athletics Women's Discus Throw,Gold
1904,Summer,USA,United States,Weightlifting,"Weightlifting Men's Unlimited, Two Hands",Silver
1904,Summer,USA,United States,Weightlifting,Weightlifting Men's All-Around Dumbbell Contest,Gold
1936,Summer,POL,Poland,Art Competitions,"Art Competitions Mixed Painting, Applied Arts",Bronze
1952,Summer,SWE,Sweden,Swimming,Swimming Men's 400 metres Freestyle,Bronze
2008,Summer,UKR,Ukraine,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",Gold
2012,Summer,UKR,Ukraine,Canoeing,"Canoeing Women's Kayak Singles, 200 metres",Silver
2012,Summer,UKR,Ukraine,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",Silver
2016,Summer,AZE,Azerbaijan,Canoeing,"Canoeing Women's Kayak Singles, 200 metres",Bronze
2014,Winter,NOR,Norway,Cross Country Skiing,Cross Country Skiing Women's Sprint,Silver
1920,Summer,NOR,Norway,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres",Bronze
1900,Summer,NOR,Norway,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres",Bronze
1900,Summer,NOR,Norway,Shooting,"Shooting Men's Free Rifle, Prone, 300 metres",Bronze
1900,Summer,NOR,Norway,Shooting,"Shooting Men's Free Rifle, Standing, 300 metres",Silver
1984,Summer,JPN,Japan,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Silver
1988,Summer,JPN,Japan,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Silver
2016,Summer,JPN,Japan,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",Silver
1996,Summer,JPN,Japan,Wrestling,"Wrestling Men's Welterweight, Freestyle",Bronze
2008,Summer,JPN,Japan,Fencing,"Fencing Men's Foil, Individual",Silver
2012,Summer,RUS,Russia,Wrestling,"Wrestling Men's Featherweight, Freestyle",Gold
2008,Summer,MGL,Mongolia,Shooting,"Shooting Women's Sporting Pistol, 25 metres",Silver
1976,Summer,BUL,Bulgaria,Rowing,Rowing Women's Double Sculls,Gold
1984,Summer,CAN,Canada,Swimming,Swimming Women's 100 metres Breaststroke,Silver
1984,Summer,CAN,Canada,Swimming,Swimming Women's 200 metres Breaststroke,Gold
1994,Winter,NOR,Norway,Ski Jumping,"Ski Jumping Men's Normal Hill, Individual",Silver
1980,Summer,JAM,Jamaica,Athletics,Athletics Women's 200 metres,Bronze
1984,Summer,JAM,Jamaica,Athletics,Athletics Women's 100 metres,Bronze
1984,Summer,JAM,Jamaica,Athletics,Athletics Women's 200 metres,Bronze
1992,Summer,JAM,Jamaica,Athletics,Athletics Women's 200 metres,Bronze
1996,Summer,JAM,Jamaica,Athletics,Athletics Women's 100 metres,Silver
1996,Summer,JAM,Jamaica,Athletics,Athletics Women's 200 metres,Silver
2000,Summer,JAM,Jamaica,Athletics,Athletics Women's 100 metres,Bronze
1984,Summer,GBR,Great Britain,Athletics,Athletics Men's Javelin Throw,Silver
2012,Summer,GER,Germany,Athletics,Athletics Men's Pole Vault,Silver
1988,Summer,GDR,East Germany,Swimming,Swimming Women's 50 metres Freestyle,Gold
1988,Summer,GDR,East Germany,Swimming,Swimming Women's 100 metres Freestyle,Gold
1988,Summer,GDR,East Germany,Swimming,Swimming Women's 100 metres Backstroke,Gold
1988,Summer,GDR,East Germany,Swimming,Swimming Women's 100 metres Butterfly,Gold
2002,Winter,GER,Germany,Luge,Luge Women's Singles,Gold
2006,Winter,GER,Germany,Luge,Luge Women's Singles,Gold
1988,Summer,FRA,France,Equestrianism,"Equestrianism Mixed Dressage, Individual",Silver
2006,Winter,SWE,Sweden,Alpine Skiing,Alpine Skiing Women's Giant Slalom,Bronze
1968,Summer,ITA,Italy,Athletics,Athletics Men's 110 metres Hurdles,Bronze
1956,Summer,CAN,Canada,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Gold
2016,Summer,TUN,Tunisia,Taekwondo,Taekwondo Men's Welterweight,Bronze
2016,Summer,FRA,France,Boxing,Boxing Men's Lightweight,Silver
2016,Summer,FRA,France,Boxing,Boxing Women's Flyweight,Silver
2004,Summer,UKR,Ukraine,Athletics,Athletics Women's 100 metres Hurdles,Silver
1998,Winter,CAN,Canada,Speed Skating,Speed Skating Men's 500 metres,Bronze
1980,Summer,GBR,Great Britain,Athletics,Athletics Men's 800 metres,Gold
1980,Summer,GBR,Great Britain,Athletics,"Athletics Men's 1,500 metres",Bronze
2012,Summer,GER,Germany,Table Tennis,Table Tennis Men's Singles,Bronze
1908,Summer,GBR,Great Britain,Athletics,Athletics Men's 5 mile,Silver
1936,Summer,USA,United States,Athletics,Athletics Men's 100 metres,Gold
1936,Summer,USA,United States,Athletics,Athletics Men's 200 metres,Gold
1936,Summer,USA,United States,Athletics,Athletics Men's Long Jump,Gold
1932,Summer,SWE,Sweden,Modern Pentathlon,Modern Pentathlon Men's Individual,Gold
1980,Winter,NOR,Norway,Speed Skating,"Speed Skating Men's 5,000 metres",Bronze
1980,Winter,NOR,Norway,Speed Skating,"Speed Skating Men's 10,000 metres",Bronze
1952,Summer,USA,United States,Swimming,Swimming Men's 100 metres Backstroke,Gold
1932,Summer,JPN,Japan,Swimming,Swimming Men's 400 metres Freestyle,Bronze
2004,Summer,TUR,Turkey,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Bronze
1968,Summer,POL,Poland,Weightlifting,Weightlifting Men's Light-Heavyweight,Bronze
1972,Summer,POL,Poland,Weightlifting,Weightlifting Men's Light-Heavyweight,Silver
2000,Summer,TUR,Turkey,Judo,Judo Men's Half-Lightweight,Gold
2008,Summer,TUR,Turkey,Weightlifting,Weightlifting Women's Flyweight,Silver
1960,Summer,URS,Soviet Union,Athletics,Athletics Women's Javelin Throw,Gold
1992,Summer,LAT,Latvia,Cycling,"Cycling Men's Road Race, Individual",Bronze
1980,Summer,HUN,Hungary,Judo,Judo Men's Open Class,Bronze
1976,Summer,USA,United States,Archery,Archery Men's Individual,Gold
1984,Summer,USA,United States,Archery,Archery Men's Individual,Gold
1952,Summer,ARG,Argentina,Boxing,Boxing Men's Light-Heavyweight,Silver
2002,Winter,USA,United States,Freestyle Skiing,Freestyle Skiing Men's Aerials,Silver
1964,Summer,GBR,Great Britain,Athletics,Athletics Women's 400 metres,Silver
1964,Summer,GBR,Great Britain,Athletics,Athletics Women's 800 metres,Gold
1928,Summer,FRA,France,Wrestling,"Wrestling Men's Lightweight, Freestyle",Silver
1932,Summer,FRA,France,Wrestling,"Wrestling Men's Lightweight, Freestyle",Gold
1920,Summer,USA,United States,Athletics,Athletics Men's 100 metres,Gold
1920,Summer,USA,United States,Athletics,Athletics Men's 200 metres,Silver
1924,Summer,USA,United States,Athletics,Athletics Men's 200 metres,Silver
2008,Summer,RUS,Russia,Shooting,"Shooting Women's Air Pistol, 10 metres",Silver
1992,Summer,PRK,North Korea,Gymnastics,Gymnastics Men's Pommelled Horse,Gold
1948,Summer,POR,Portugal,Equestrianism,"Equestrianism Men's Dressage, Team",Bronze
1996,Summer,IND,India,Tennis,Tennis Men's Singles,Bronze
2016,Summer,GBR,Great Britain,Trampolining,Trampolining Women's Individual,Silver
1984,Summer,USA,United States,Boxing,Boxing Men's Light-Welterweight,Gold
2008,Summer,AUS,Australia,Sailing,Sailing Men's Two Person Dinghy,Gold
1968,Summer,USA,United States,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",Bronze
1928,Summer,NED,Netherlands,Equestrianism,"Equestrianism Men's Three-Day Event, Individual",Gold
1932,Summer,NED,Netherlands,Equestrianism,"Equestrianism Men's Three-Day Event, Individual",Gold
1932,Summer,NED,Netherlands,Equestrianism,"Equestrianism Men's Three-Day Event, Team",Silver
2006,Winter,CAN,Canada,Skeleton,Skeleton Men's Skeleton,Silver
2016,Summer,USA,United States,Sailing,Sailing Men's One Person Heavyweight Dinghy,Bronze
1896,Summer,USA,United States,Shooting,"Shooting Men's Military Pistol, 25 metres",Gold
1896,Summer,USA,United States,Shooting,"Shooting Men's Free Pistol, 30 metres",Gold
1896,Summer,USA,United States,Shooting,"Shooting Men's Military Pistol, 25 metres",Silver
2008,Summer,AUT,Austria,Judo,Judo Men's Extra-Lightweight,Silver
2012,Summer,COL,Colombia,Cycling,Cycling Women's BMX,Gold
2016,Summer,COL,Colombia,Cycling,Cycling Women's BMX,Gold
1972,Summer,FRA,France,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,Silver
2008,Summer,PRK,North Korea,Judo,Judo Men's Half-Lightweight,Bronze
2008,Summer,PRK,North Korea,Weightlifting,Weightlifting Women's Middleweight,Gold
1996,Summer,RUS,Russia,Boxing,Boxing Men's Flyweight,Bronze
2004,Summer,RUS,Russia,Diving,Diving Women's Springboard,Bronze
2008,Summer,RUS,Russia,Diving,Diving Women's Springboard,Silver
2008,Summer,RUS,Russia,Diving,Diving Women's Synchronized Springboard,Silver
1996,Summer,UKR,Ukraine,Sailing,Sailing Women's Two Person Dinghy,Bronze
2000,Summer,UKR,Ukraine,Sailing,Sailing Women's Two Person Dinghy,Bronze
1952,Summer,FIN,Finland,Boxing,Boxing Men's Lightweight,Bronze
1912,Summer,SWE,Sweden,Shooting,"Shooting Men's Dueling Pistol, 30 metres",Silver
1992,Summer,EUN,Unified Team,Boxing,Boxing Men's Featherweight,Bronze
1960,Summer,POL,Poland,Weightlifting,Weightlifting Men's Light-Heavyweight,Gold
1964,Summer,POL,Poland,Weightlifting,Weightlifting Men's Middle-Heavyweight,Bronze
1968,Winter,AUT,Austria,Alpine Skiing,Alpine Skiing Women's Downhill,Gold
1952,Summer,SWE,Sweden,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Gold
1996,Summer,GBR,Great Britain,Swimming,Swimming Men's 400 metres Freestyle,Silver
1936,Summer,HUN,Hungary,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",Bronze
2016,Summer,ITA,Italy,Swimming,"Swimming Men's 1,500 metres Freestyle",Gold
1936,Summer,EST,Estonia,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Gold
1936,Summer,EST,Estonia,Wrestling,"Wrestling Men's Heavyweight, Freestyle",Gold
1960,Summer,ITA,Italy,Athletics,Athletics Men's 50 kilometres Walk,Bronze
1964,Summer,ITA,Italy,Athletics,Athletics Men's 50 kilometres Walk,Gold
1976,Summer,TCH,Czechoslovakia,Shooting,Shooting Mixed Skeet,Gold
1980,Summer,YUG,Yugoslavia,Rowing,Rowing Men's Double Sculls,Silver
1984,Summer,YUG,Yugoslavia,Rowing,Rowing Men's Double Sculls,Bronze
1980,Summer,URS,Soviet Union,Cycling,"Cycling Men's 1,000 metres Time Trial",Silver
2008,Summer,CHN,China,Swimming,Swimming Women's 200 metres Freestyle,Bronze
2008,Summer,CHN,China,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Silver
2008,Summer,CHN,China,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Bronze
2010,Winter,CHN,China-2,Figure Skating,Figure Skating Mixed Pairs,Silver
2008,Summer,CHN,China,Shooting,"Shooting Men's Air Pistol, 10 metres",Gold
2016,Summer,CHN,China,Shooting,"Shooting Men's Air Pistol, 10 metres",Bronze
1968,Summer,URS,Soviet Union,Swimming,Swimming Men's 100 metres Breaststroke,Bronze
1996,Summer,RUS,Russia,Swimming,Swimming Men's 100 metres Butterfly,Gold
1996,Summer,RUS,Russia,Swimming,Swimming Men's 200 metres Butterfly,Gold
2010,Winter,RUS,Russia,Cross Country Skiing,Cross Country Skiing Men's Sprint,Silver
1896,Summer,GRE,Greece,Athletics,Athletics Men's Shot Put,Bronze
1992,Summer,GER,Germany,Canoeing,"Canoeing Men's Canadian Doubles, 500 metres",Silver
1992,Summer,GER,Germany,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Gold
1972,Summer,HUN,Hungary,Shooting,"Shooting Mixed Free Rifle, Three Positions, 300 metres",Bronze
1948,Summer,HUN,Hungary,Boxing,Boxing Men's Middleweight,Gold
1952,Summer,HUN,Hungary,Boxing,Boxing Men's Light-Middleweight,Gold
1956,Summer,HUN,Hungary,Boxing,Boxing Men's Light-Middleweight,Gold
1928,Summer,HUN,Hungary,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",Silver
1920,Summer,BRA,Brazil,Shooting,"Shooting Men's Military Pistol, 30 metres",Gold
1994,Winter,BLR,Belarus,Biathlon,Biathlon Women's 7.5 kilometres Sprint,Silver
1936,Summer,POL,Poland,Art Competitions,"Art Competitions Mixed Literature, Epic Works",Bronze
1988,Summer,USA,United States,Cycling,Cycling Women's Sprint,Bronze
1896,Summer,GRE,Greece,Athletics,Athletics Men's Discus Throw,Silver
2012,Summer,JAM,Jamaica,Athletics,Athletics Men's 110 metres Hurdles,Bronze
1976,Summer,MEX,Mexico,Boxing,Boxing Men's Featherweight,Bronze
2008,Summer,ARG,Argentina,Judo,Judo Women's Extra-Lightweight,Bronze
2016,Summer,ARG,Argentina,Judo,Judo Women's Extra-Lightweight,Gold
1980,Summer,URS,Soviet Union,Canoeing,"Canoeing Men's Kayak Singles, 500 metres",Gold
1956,Summer,URS,Soviet Union,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Gold
1972,Summer,GBR,Great Britain,Judo,Judo Men's Open Class,Bronze
1980,Summer,FRA,France,Judo,Judo Men's Heavyweight,Gold
1980,Summer,FRA,France,Judo,Judo Men's Open Class,Silver
1984,Summer,FRA,France,Judo,Judo Men's Heavyweight,Silver
1988,Summer,ITA,Italy,Boxing,Boxing Men's Featherweight,Gold
2008,Summer,KOR,South Korea,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",Bronze
2008,Summer,KOR,South Korea,Archery,Archery Men's Individual,Silver
1996,Summer,KOR,South Korea-1,Table Tennis,Table Tennis Women's Doubles,Bronze
2016,Summer,KOR,South Korea,Golf,Golf Women's Individual,Gold
1988,Summer,KOR,South Korea,Wrestling,"Wrestling Men's Lightweight, Freestyle",Silver
1992,Summer,KOR,South Korea,Wrestling,"Wrestling Men's Welterweight, Freestyle",Gold
1996,Summer,KOR,South Korea,Wrestling,"Wrestling Men's Welterweight, Freestyle",Silver
1988,Summer,KOR,South Korea,Gymnastics,Gymnastics Men's Horse Vault,Bronze
2016,Summer,KOR,South Korea,Fencing,"Fencing Men's epee, Individual",Gold
2004,Summer,KOR,South Korea,Archery,Archery Women's Individual,Gold
2008,Summer,KOR,South Korea,Archery,Archery Women's Individual,Silver
1988,Summer,KOR,South Korea,Archery,Archery Men's Individual,Silver
2010,Winter,KOR,South Korea,Short Track Speed Skating,"Short Track Speed Skating Women's 1,000 metres",Bronze
2010,Winter,KOR,South Korea,Short Track Speed Skating,"Short Track Speed Skating Women's 1,500 metres",Bronze
2014,Winter,KOR,South Korea,Short Track Speed Skating,Short Track Speed Skating Women's 500 metres,Bronze
2014,Winter,KOR,South Korea,Short Track Speed Skating,"Short Track Speed Skating Women's 1,000 metres",Gold
1988,Summer,KOR,South Korea,Boxing,Boxing Men's Light-Middleweight,Gold
2008,Summer,KOR,South Korea,Swimming,Swimming Men's 200 metres Freestyle,Silver
2008,Summer,KOR,South Korea,Swimming,Swimming Men's 400 metres Freestyle,Gold
2012,Summer,KOR,South Korea,Swimming,Swimming Men's 200 metres Freestyle,Silver
2012,Summer,KOR,South Korea,Swimming,Swimming Men's 400 metres Freestyle,Silver
1976,Summer,KOR,South Korea,Judo,Judo Men's Middleweight,Bronze
1908,Summer,GBR,Great Britain-2,Tennis,Tennis Men's Doubles,Silver
1920,Summer,AUS,Australia,Athletics,"Athletics Men's 3,000 metres Walk",Silver
1936,Summer,USA,United States,Athletics,Athletics Men's Decathlon,Bronze
1968,Summer,URS,Soviet Union,Shooting,"Shooting Mixed Small-Bore Rifle, Three Positions, 50 metres",Bronze
2000,Summer,RSA,South Africa,Swimming,Swimming Men's 200 metres Breaststroke,Silver
1968,Summer,GBR,Great Britain,Athletics,Athletics Women's Long Jump,Silver
2008,Summer,AUS,Australia,Sailing,Sailing Women's Two Person Dinghy,Gold
1948,Winter,FIN,Finland,Speed Skating,"Speed Skating Men's 10,000 metres",Silver
1908,Summer,GBR,Great Britain,Boxing,Boxing Men's Heavyweight,Bronze
1972,Summer,YUG,Yugoslavia,Boxing,Boxing Men's Light-Heavyweight,Gold
1900,Summer,FRA,France,Shooting,"Shooting Men's Free Pistol, 50 metres",Silver
1900,Summer,FRA,France,Shooting,"Shooting Men's Free Rifle, Prone, 300 metres",Gold
1976,Summer,FRA,France,Equestrianism,"Equestrianism Mixed Jumping, Team",Gold
2002,Winter,USA,United States,Speed Skating,"Speed Skating Men's 1,500 metres",Gold
